No.,Name,Crime Rate,Crowded,Poverty,Unemployed,No HS Diploma,Age under or over,Income,Hardship,SNAP,single mother,White,Black,Asian,Hispanic,Rank
1,Rogers Park,1.675,7.7,23.6,8.7,18.2,27.5,23939,39,0.18,23.9,31.77,29.56,6.47,27.78,medium
2,West Ridge,1.098,7.8,17.2,8.8,20.8,38.5,23040,46,0.16,17.55,49.73,6.78,22.38,15.51,low
3,Uptown,1.561,3.8,24,8.9,11.8,22.2,35787,20,0.17,21.2,42.15,21.11,12.99,19.94,low
4,Lincoln Square,1.049,3.4,10.9,8.2,13.4,25.5,37524,17,0.07,13.02,53.21,3.01,13.33,26.54,low
5,North Center,1.204,0.3,7.5,5.2,4.5,26.2,57123,6,0.03,11.21,68.78,4.18,4.19,20.37,low
6,Lake View,1.621,1.1,11.4,4.7,2.6,17,60058,5,0.03,9.05,79.48,4.42,5.48,8.72,low
7,Lincoln Park,1.556,0.8,12.3,5.1,3.6,21.5,71551,2,0.04,9.29,84.49,5.17,3.65,5.06,low
8,Near North Side,3.096,1.9,12.9,7,2.5,22.6,88669,1,0.05,11.11,69.22,19.07,6.15,3.85,medium
9,Edison Park,0.574,1.1,3.3,6.5,7.4,35.3,40959,8,0.01,12.34,93.29,0.17,1.78,4.11,low
10,Norwood Park,0.779,2,5.4,9,11.5,39.5,32875,21,0.04,15.03,88.34,0.89,3.27,6.42,low
11,Jefferson Park,1.09,2.7,8.6,12.4,13.4,35.5,27751,25,0.05,15.01,81.6,0.31,4.82,11.14,low
12,Forest Glen,0.66,1.1,7.5,6.8,4.9,40.5,44164,11,0.04,8.26,81.44,0.39,8.75,7.65,low
13,North Park,1.169,3.9,13.2,9.9,14.4,39,26576,33,0.11,14.09,55.83,2.44,23.92,14.32,low
14,Albany Park,1.02,11.3,19.2,10,32.9,32,21323,53,0.17,16.61,27.52,3.31,17.69,46.38,low
15,Portage Park,1.269,4.1,11.6,12.6,19.3,34,24336,35,0.12,23.6,69.51,0.51,3.81,22.99,low
16,Irving Park,1.339,6.3,13.1,10,22.4,31.6,27249,34,0.11,19.73,44.19,1.91,7.49,43.31,low
17,Dunning,0.914,5.2,10.6,10,16.2,33.6,26282,28,0.06,19.05,81.57,0.55,3.15,12.9,low
18,Montclaire,1.234,8.1,15.3,13.8,23.5,38.6,22014,50,0.14,19.53,54.5,2.09,2.69,38.47,low
19,Belmont Cragin,1.625,10.8,18.7,14.6,37.3,37.3,15461,70,0.18,25.77,28,2.56,2.56,65.11,low
20,Hermosa,1.521,6.9,20.5,13.1,41.6,36.4,15089,71,0.22,25.88,11.47,2.41,1.19,83.89,low
21,Avondale,1.518,6,15.3,9.2,24.7,31,20039,42,0.12,23.04,29.61,1.55,2.26,61.97,low
22,Logan Square,1.64,3.2,16.8,8.2,14.8,26.2,31908,23,0.11,25.76,26.29,5.19,1.34,65.08,medium
23,Humboldt park,3.392,14.8,33.9,17.3,35.4,38,13781,85,0.36,41.6,3.32,47.4,0.4,48.01,medium
24,West Town,2.211,2.3,14.7,6.6,12.9,21.7,43198,10,0.1,58.33,39.39,9.13,1.79,46.85,medium
25,Austin,11.534,6.3,28.6,22.6,24.4,37.9,15957,73,0.34,50.26,4.82,89.66,0.56,4.12,high
26,West Garfield Park,21.267,9.4,41.7,25.8,24.5,43.6,10934,92,0.43,63.99,0.58,98.02,0.08,0.87,extreme
